"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"2167",-61972.7911306512,262680.583333333,-0.957135892879319,0.359621098663408,0.957960034862707,-4.59511985015697
"2178",-217158.164994193,1915869.41666667,-0.724879100276958,0.484073767906225,0.999964564224971,-4.59511985025029
"2164",-421915.339676362,769769.5,-1.41410160429697,0.185757693207639,0.829266205139967,-4.59511984989172
"2168",-177084.726067196,728346.416666667,-0.748437606590625,0.470324962170869,0.999964564224971,-4.59511985025739
"2181",-866807.772355854,1876345.58333333,-1.94862118484331,0.0780313711119532,0.689595679013132,-4.59511984958478
"2209",-1903245.26282239,3605616.83333333,-3.01651376528362,0.0120696556426962,0.348894416003844,-4.5951198488617
"2191",-49941.6181153608,2264885.33333333,-0.177960808852842,0.862077426354859,0.999964564224971,-4.59511985037267
"2196",-552930.693327557,1297404.91666667,-2.16556603879378,0.0538525720213418,0.631270835383275,-4.5951198494731
"2187",-661851.651584975,5354104.83333333,-0.560023837149455,0.58699373405217,0.999964564224971,-4.59511985032795
"2183",-303453.833333333,1517704.75,-0.530745723299468,0.606433068422793,0.999964564224971,-4.59511985034477
"2194",-3217537.40454486,5856347.16666667,-1.97835663281851,0.0742001864253383,0.689595679013132,-4.59511984950885
"2186",260759.166666667,2023542.41666667,0.450819728832091,0.661116321068426,0.999964564224971,-4.5951198503694
"2185",-165753.321335315,359364.916666667,-1.93158545143899,0.080308468022019,0.689595679013132,-4.5951198495693
"2201",-246485.897014568,718658.75,-1.15834486875433,0.271918970213897,0.909873484022211,-4.59511985005056
"2192",-184441.093100885,1123564.08333333,-0.608080899390924,0.555818391836016,0.999964564224971,-4.59511985029498
"2190",-23007.0803863786,280000.5,-0.30979083911146,0.762668509019417,0.999964564224971,-4.59511985037595
"2208",-391909.635643286,801350.25,-1.34690624772402,0.205838937408247,0.852284465160633,-4.59511984993682
"2207",-1218857.0158582,1928593.75,-1.74932396966519,0.108812066918964,0.731140730350233,-4.59511984968212
"2203",-41591.9883362071,610450.083333333,-0.520185831597276,0.613524585825547,0.999964564224971,-4.59511985031534
"2214",-1169179.64669709,3010957.16666667,-1.37741656803592,0.196506554130296,0.837453232052325,-4.59511984991442
"2213",-3312103.79023099,4785691.58333333,-1.7899467774694,0.101758346723674,0.706238132875102,-4.59511984963595
"2218",-249258.339981308,4246992.33333333,-0.291900287274711,0.775943311910006,0.999964564224971,-4.59511985038609
"2220",-648323.889466064,2152286,-2.49574434977473,0.0302690070332012,0.493320412498555,-4.59511984926328
"2219",-153.319263184427,125714.25,-0.00325324807220922,0.997464136401543,0.999964564224971,-4.59511985040866
"2231",-1273584.77801163,4283958.75,-1.5364924242947,0.153438578419389,0.794578314428579,-4.5951198498295
"2245",66815.6333322253,5286080.66666667,0.0458082076512302,0.964306691825616,0.999964564224971,-4.59511985041252
"2227",-2837008.04586413,3048746.16666667,-3.09371949371001,0.0105338603237731,0.348894416003844,-4.59511984897056
"2229",-180547.606262973,2348437.58333333,-0.658958108601303,0.523847370788502,0.999964564224971,-4.59511985026874
"2217",-34544.9090205654,542918.416666667,-0.24627165688704,0.810131456330214,0.999964564224971,-4.59511985040359
"2228",-72882.2386770096,498859.5,-0.484729054338487,0.637637183690438,0.999964564224971,-4.59511985032989
"2241",-1411739.82535958,6133098.08333333,-0.725126451544419,0.483928125544223,0.999964564224971,-4.59511985026521
"2239",-126446.636927761,904049.333333333,-1.17275355774779,0.266337277288666,0.909873484022211,-4.59511985004558
"2249",-416473.691006056,5210642,-0.313986020769065,0.75956703775997,0.999964564224971,-4.59511985038035
"2262",-823754.483398688,7280910.08333333,-0.749396411823888,0.469770669485364,0.999964564224971,-4.59511985024555
"2247",222822.187155145,1236401.58333333,0.468794648204872,0.648620590626158,0.999964564224971,-4.59511985033961
"2244",-385605.469729095,1575545.91666667,-0.728258791407681,0.482086135633221,0.999964564224971,-4.5951198502539
"2242",-48158.5866855089,284896.5,-0.917577270195118,0.379054671226082,0.971089893508959,-4.59511985017398
"2261",-2857908.28749378,8198048.16666667,-0.937831501093573,0.369013615707774,0.961029516289219,-4.59511985016653
"2248",-547355.469510343,2179102.08333333,-0.843340389469605,0.417488995571306,0.999964564224971,-4.59511985021019
"2263",-248246.2162095,869477.75,-1.57009676982735,0.145465551000497,0.784694451171694,-4.59511984979169
"2256",-120993.852594248,3418107.83333333,-0.111738000606611,0.913099250930236,0.999964564224971,-4.59511985038686
"2264",-621683.833333333,5968970.75,-0.166354558714075,0.870979094615746,0.999964564224971,-4.59511985042583
"2250",-131310.003948652,691792,-0.36515437866873,0.722109840419398,0.999964564224971,-4.59511985038303
"2254",-53382.6666567711,243730.333333333,-0.675999378477206,0.513384119837541,0.999964564224971,-4.59511985028747
