Spot_number;HT_Br_141_27754;HT_Br_142_27755;HT_Br_143_27756;HT_Br_145_27757;HT_Br_153_27758;HT_Br_182_30362;HT_Br_184_30363;HT_Br_186_30343;HT_Br_185_30364;HT_Br_189_30367;HT_Br_221_30350;HT_Br_222_30351;HT_Br_227_30353;HT_Br_229_30354;HT_Br_233_30355;HT_Br_122_27749;HT_Br_123_27750;HT_Br_125_27751;HT_Br_126_27752;HT_Br_129_27753;HT_Br_161_27759;HT_Br_162_27760;HT_Br_166_30359;HT_Br_172_30342;HT_Br_173_30361;HT_Br_202_30368;HT_Br_203_30369;HT_Br_204_30346;HT_Br_205_30347;HT_Br_207_30345
341;4021909;2442878;4692972;3556633;3629724;1621875;3158483;1889999;2254320;2293312;1200127;1505830;3215794;2512539;1238160;3626796;3742924;3821261;1682418;2016585;3257903;1450146;4216830;1692107;1491603;1397027;2159240;1199118;4187621;5199693
319;2330981;2706425;2439572;2123172;1477334;804490;1963619;40541;938530;1379560;2022685;1053692;425149;534204;954816;3419680;2350947;1428315;4721828;1075029;1682735;2303703;2652502;190210;3845856;2685863;889677;1345634;471862;1752243
320;914209;3407707;1007457;1833353;603555;658740;1025344;64551;595094;484170;9535960;6846631;1147298;1020672;4094361;1984742;1860448;1013233;4779541;1065908;731771;3051326;974902;461811;3045860;4207573;1723911;1392615;963471;2639005
339;20221989;23098289;9962349;15342948;21954087;2520393;4610739;4466287;3614141;3379200;13285707;8369702;5453552;8325673;8331676;16707942;13742687;16809215;10127103;4074077;5951027;8127755;11612340;2785186;4613544;5275833;13900680;4851736;12094701;6142633
321;581916;2435164;709181;1089290;368211;265287;788509;45714;435152;358939;7227124;4627989;711842;1208865;3478414;1493422;1333282;1118445;3314584;597733;698433;1996796;778496;209371;3292574;2973126;2485691;1182620;710963;1646791
352;5035520;810949;1049045;947355;4176236;2120619;913734;4058726;2303009;2377861;614513;471565;1024044;557820;2010871;1017005;937365;879091;662266;2951183;2717496;898221;1354411;4012776;442940;39913;125196;161604;1090236;16493
353;5279598;906440;1169633;723650;3546537;1628262;895810;2837840;1856453;2018672;525522;474620;663463;452336;1366983;1149242;851008;1184497;550078;2176564;2760821;434582;1590659;3553356;440779;49617;93907;144531;1011258;0
351;6409165;2785700;2115235;2308624;11315103;6140532;4000870;9420310;7204543;6567903;1352612;1532688;3066579;2118474;4425176;3116313;2321566;1999279;2042089;8567044;7072013;1613676;3578546;10075366;1521962;54560;710338;561599;3689753;93
363;1795505;2073604;2419970;3608852;4082754;2401007;1605763;4888841;1328435;701838;274353;399787;734727;110186;311;1832653;1630454;2008845;1256134;2307824;2503552;1375386;2096727;4360636;43369;2891;43628;19261;1297;7989
333;2726190;3574250;3738576;2977414;3458672;5964722;6510240;2420888;2033521;3000626;1590930;1307176;2409303;1922377;1368574;1966152;2495665;1798779;2043557;3212388;2866695;1137478;2598711;3836599;1517208;1363144;2071786;958365;1963105;1503527
350;5529626;1759168;1627587;1676102;9376729;3996598;3237166;7872212;5705264;5169742;1645178;1342379;2258866;1106862;3248885;1928235;2382129;1615499;1271894;6991723;7114993;693079;2517364;7538550;1707266;70757;607198;809627;2286169;0
364;1218136;580936;458433;285317;1026363;671373;144705;2696495;353567;332469;6543;1547;317;8164;0;542287;494277;418049;556994;803894;716206;258491;437436;1363291;2105;518;3;31439;0;1
366;1570263;1147117;1313073;1442718;1074017;1082421;499785;3820943;859535;570120;143838;118148;333508;63303;679;1108022;1078498;1345400;524091;1685280;1529102;440544;926676;4055918;9222;5631;319903;1132;2627;1502
371;1900040;758699;1302559;923947;2547440;820027;140542;6427871;419001;430085;2302;15117;0;14226;110559;955945;837287;895777;1760405;1645916;1919496;989944;593801;2988029;13393;33;7033;1541;0;791
373;700649;653063;904518;548401;1721143;291537;22128;2390744;11644;26611;847;368;13857;663;0;321443;639821;578955;1251923;858535;794711;417315;338581;2102626;287;408;1262;258;1544;0
361;1233802;8135179;778216;2090334;907891;819525;1108079;307972;690852;802255;11753486;4695336;1912661;1437304;1826160;3363546;1297860;2203082;3341586;809496;855563;2129490;1599709;544476;1838375;1809651;9480501;1112254;2027599;1886509
384;378785;405084;320641;1118111;436653;30970;2241;1771;499;5210;279;8637;0;1057;822;282009;417394;298212;274212;483679;451529;279076;258772;671051;0;2953;86;614;1587;0
400;2953550;7178269;5609528;4823812;5196875;5399722;2892639;17700811;3356227;2884788;3534408;2279191;2252712;1758293;1031424;6653405;4488070;5594868;6301446;4278763;5610760;3609870;4642535;10151490;2271014;2030050;4811824;3340487;1294675;2236936
439;6187227;2860087;3372839;3188442;3158945;2126013;1164869;3253945;985949;1162983;481017;258698;489497;200320;6355;2653671;2495269;3159313;2309231;3385535;2697646;1706419;1285171;4974505;5839;18351;45038;24097;67467;40346
455;4179234;7517372;6178891;5181988;4505120;5003197;2362118;15006194;2392675;2679455;3010445;1549116;2129151;1421594;547239;4940230;4417829;5010225;5680286;4686953;4112637;3187865;3548210;8257807;2305225;1402384;4400561;2656299;1127258;1411586
421;2425749;4282377;3309858;5283214;1857530;1653371;1993815;1871817;1715911;1379831;4626197;4402352;2609916;2755654;5950344;4879063;2900807;1879847;5605224;1678607;1967612;5706743;2966280;2571473;3429156;4296978;3072932;1238478;4354418;5752268
458;3017621;1589644;2430279;1718910;2773388;4507285;1357687;4724558;798755;1266211;1055629;627511;695819;474842;39028;1761882;1690398;1955310;1085574;3766204;1239592;1193639;1229635;4906205;1128350;1303618;102271;98275;666270;573
422;1366032;1268625;1458666;1721205;1419386;914291;777804;1636008;919565;572719;126702;167197;255034;179145;356;1321846;650973;1550882;607381;1406745;1512692;777743;731557;1552803;47450;1300;522819;16845;27716;0
434;2429255;2705781;2465164;2284996;2492766;1257387;1141811;2910368;944629;1089745;216485;149000;181298;151788;1299;1971943;1065078;2046021;1305643;2621572;2441003;1444650;1039427;3863377;6098;100863;27063;14474;55589;0
424;1072688;2318417;1433811;2388506;902983;1093288;1762817;855661;414428;427598;1666204;1116162;1139152;1341212;1266526;1863549;1457498;1180684;1924826;843601;855199;2079448;985685;7412;1492061;926388;1059749;580726;1394926;259444
427;1157633;1146926;1391912;1607972;955328;2904324;781108;142911;765489;405628;1343417;966151;1527132;778271;1139338;1389095;1745882;1174040;1825520;725515;720434;1452554;724548;7360;1445475;727009;1007186;510004;1308640;176335
448;1839571;3169804;1638323;1552507;1827570;856598;657860;1193324;991631;965985;2281636;1399771;1530249;803990;2872226;3469570;1210782;1440606;3170013;990615;851409;2435753;1202047;1163733;1231081;1610142;3137545;1208973;1976533;1724923
450;1721612;2142851;1822352;1786613;1512968;1671204;747429;10237874;1041112;1075534;1273448;982799;1259964;784932;1239592;1957786;2708221;2336215;1210665;2066875;412017;1076595;1260521;1579109;1616952;55040;512961;810875;864278;29219
466;11098600;1481242;3955734;2157858;4885044;8491337;2773859;26120915;2323673;4165615;1205508;475666;1708853;767044;800217;1778171;1998592;1884636;1208826;6810403;874619;1668916;1587649;8266189;2468605;3959;82070;332846;1660920;0
428;645940;896478;893489;1523872;1289446;291429;528582;567196;454915;238639;241903;192276;115468;94084;1147;852794;694491;1003483;587160;850976;1017612;602458;761820;571745;58342;616;958210;1743;3704;440
431;1342565;1602227;1753401;2575669;2192753;878839;1160733;659981;2159642;820181;1530810;1249274;1354677;888614;1318402;2117519;2461481;1501761;2145518;928807;765910;1786087;1175953;1841785;1725694;681071;984728;590099;2051445;107353
433;1032662;1564485;1508609;1640493;1350491;674033;820691;632135;461069;569996;936015;791233;879904;432229;727052;1868698;1968550;1277672;1470498;960396;403495;1189599;1300745;404212;1021261;429835;678358;463155;726510;124437
436;3622041;3674435;3963327;3966943;2361029;2642240;943781;4506466;1955166;1641791;2153291;1415673;1812714;913160;1894693;3969599;3813254;4018218;2255437;1752887;690899;2527094;1932131;995056;2576014;656076;1264439;1417199;2135143;18025
462;5280177;3405902;4536917;4094225;5456901;6720948;3242707;32539956;3108589;3683023;2239510;1308276;2416762;1053125;1980244;3107020;3183332;3927590;2274263;5912450;950935;1785946;2245408;5748626;2990947;45077;434603;981671;2284253;10392
440;1755503;1765055;1234520;2521121;2654988;53214;218;393841;98382;58501;8451;30;32;6281;150;1237058;1255203;2150484;1504024;2230960;2231752;1371695;579451;319156;1861;294;2630;19655;1275;15
463;6459414;2655266;4338421;2304160;5157982;8479146;2720542;12231899;1961526;3562694;1330712;513522;1488284;566829;439800;2064637;1894894;2332640;2149974;7272965;1520050;1066622;1208504;10203750;1975457;13787;446227;669381;1563394;397
443;1072657;841600;915433;1101563;779823;535002;211014;314260;125238;59512;5937;15120;7027;9903;3040;908266;869298;843501;1076394;1019096;1014442;903845;515150;330249;340;1697;6242;6730;531;5645
438;1656463;1961220;2323012;1689364;1866354;909215;769432;952551;833686;613829;549215;225344;525083;92180;1936;1456960;1605005;1885915;1178106;1291517;1854263;1473909;1022521;846663;465339;6933;279254;20729;17790;754
493;2714348;1963497;3108965;1303394;2243234;1580891;1305694;2237246;1257807;1410030;1792168;1512515;896678;1386430;2520723;1658139;1270526;2281260;1484110;1789238;1939903;1820744;1947965;2000305;968369;1488642;1585940;545977;1035040;5851179
446;830804;583946;559330;545969;730768;31773;417;6;117200;1384;7231;1145;7847;58140;0;364254;965442;359321;344368;922044;950579;521516;362824;1821;2781;1965;0;0;89;0
445;1248865;908285;1079087;1422874;800715;902158;497404;404072;88814;189751;81733;119137;542406;15851;0;827145;469941;933600;885369;616442;735894;433635;336006;492341;0;661;1684;0;0;0
483;1215459;623697;437571;1142149;1258268;81418;6790;472615;6216;4269;22978;7724;956;11;0;508334;761739;1073554;387176;1095602;1415325;571851;296105;411990;1015;868;50;382;0;0
435;449766;286969;344434;540710;789557;228077;6874;920694;187;3;11595;57643;12231;3941;0;329834;373862;744995;329018;900274;1179907;158395;173911;1284795;0;0;0;0;0;0
486;874289;1143129;862373;430159;994925;367360;535315;454338;711796;722737;402155;1267947;1157323;474983;855250;821149;670293;1187780;830091;814450;856013;1061281;1092540;430042;405557;840984;419090;272029;920386;1379450
518;2049487;6547806;2372755;1259769;687021;1400300;1605711;38255;1140532;782668;2350612;2538275;2203671;1630996;2427098;4264294;2234238;3120415;11025224;1249414;1256939;5613082;2849117;537184;2316910;2528522;1545933;1808279;1983350;5693564
510;2546049;5446983;2484606;1379139;1100009;1435011;1933011;1056835;1119986;1607456;5782264;3211681;2460975;4817977;3104293;4158077;2848168;3097671;8760309;2324802;1506677;7078008;3493165;4465270;4172685;5049639;4830701;3234435;1953002;8869678
531;3459750;8929165;4049949;2801668;1341491;1846678;2134306;20465;1616179;1805612;4549713;4303187;2319280;3282825;5077430;10457917;4039486;4833071;12262467;1621760;1442522;7591855;4360198;406481;4178854;3240088;4289261;2923441;3504194;9197668
519;7471204;7434866;6771305;8081439;10512095;9967690;4762944;11297425;7156091;4134128;10643212;7492752;6023623;4828066;8301838;8863839;6518774;8103482;5427960;8283501;9366333;4157748;7370476;13180465;5403266;6169545;5442851;5640663;8966624;8423716
524;33130243;35163662;24104323;22588910;20221991;17510779;17585552;24068866;10631997;13419643;19850899;24487181;9992879;24051036;24588986;20662774;20953321;27973461;22156791;22267595;19867399;28670371;18260612;31197216;5317500;13361278;18505385;16110273;16204576;37941232
490;3390437;2912409;2594869;3229485;2378791;1127629;1363140;1289566;839458;1160735;1724009;1000060;2145051;1804476;2189061;2399467;2101927;2110014;1876187;1535686;1412285;1925660;2492697;682884;2257917;2247842;1377411;1202179;1437923;2769024
525;26982792;42873615;22799303;36377254;22283465;13972223;8655973;17069218;11832948;11907437;16112884;11542993;16644057;15932130;24945380;23186951;22408766;21896874;25770820;16566444;17596786;23035602;17136114;26764329;11638928;14677378;20199067;14064000;21098804;20749613
512;2306979;1765587;1606262;1910249;1909492;668618;1217736;973517;675276;920437;1447913;817917;976891;1179689;1475369;1726755;1296309;1475634;1196175;877728;928463;1277637;1442971;1299548;1309728;850040;807711;726237;969713;1885380
514;4833066;7130633;4897116;4929098;6187949;5982440;2839345;8902694;3859627;3722438;6662615;4204613;3295785;4266015;5645270;5176166;4613262;4903729;4667095;4602486;5557998;3110843;6003408;3927701;4188500;3723038;3355502;3329093;4971773;6553208
611;32418370;44762119;41200509;39763334;32816841;42564107;21648133;138391022;23850868;22766371;26388952;19051928;21007574;14637756;10170445;39947151;26261791;35388416;39154791;36182501;34909410;20166462;36808204;79498955;24644383;18726030;41757965;27996040;14241732;31802902
