"","Br_23865","Br_23883","Br_23884","Br_23728","Br_23729","Br_23730","Br_23731","Br_23732","Br_23733","Br_23875","Br_23876","Br_23877"
"668",18.5748515205888,18.6260472795918,19.5619840453179,17.6253474522936,17.3632051145653,18.7499727893794,17.7291841757888,17.8477079015006,17.8647809082345,19.6221774393769,18.100740462941,19.4755699875991
"652",19.31295115688,19.691183689865,20.1203554270137,18.7542955975796,18.3386489147787,19.3047712864474,18.6450141522024,19.5065087722997,19.0010954707951,21.0143109241597,19.5893461648356,20.6559884781247
"689",18.1176227597599,18.550093492214,18.3977682092807,19.2354917185078,18.2022909706029,19.7641994279474,19.9284435984999,18.6585180580824,18.0545040259881,19.2709543900576,18.4247520137939,18.7008184427565
"721",24.5572665538025,24.5137341434961,24.5445588489802,25.4641098782414,24.5137341434961,24.611605498299,25.6894345712608,24.2819307024133,22.8145045015183,24.5137341434961,25.5342235328297,25.0782536474447
"713",23.0149099807156,23.7551235023635,23.3562406070128,23.2246411525197,22.6589682804457,22.4932399760177,21.8502728237883,23.5703030844908,24.3685265179041,23.7779744254055,23.8105683894289,23.9033459586846
"732",19.8242859706113,20.2132877028197,20.4147806176302,18.6191948624564,19.31295115688,19.1134757498643,18.550093492214,19.5680244446282,20.1341670676583,20.2997084420816,20.2810241927252,20.3319508983273
"730",21.7138982407492,22.4384721865622,21.8657068400863,21.2668865253698,20.6815618010993,21.0853650300731,19.7785308172418,21.5433819161581,21.3869181099141,22.5966250471667,22.6589682804457,22.7564097901836
"726",21.0397349267704,20.9922992077528,20.471052924062,19.6594840604049,19.6085154621653,19.5619840453179,19.2095383624295,19.8007380828372,19.6957016406724,21.3869181099141,21.4798752093143,21.2755097180109
"734",21.7572725589378,22.3487317165202,21.7359466638407,20.1281977542659,20.1341670676583,20.9098257237356,18.9749171322588,21.1593848588016,21.1593848588016,21.9011639441976,22.4384721865622,22.4852051152728
"725",19.9554316186021,20.0912581981199,20.2449617663651,18.7008184427565,19.7189749655697,19.334209994634,18.7135542884558,19.3205457011227,19.8139414226285,20.6559884781247,20.3522007393202,20.7443468812511
"718",22.7911127619569,24.2294440707358,24.4729928411358,25.0782536474447,24.1402136813004,24.1014745076961,25.7530397393825,24.1014745076961,23.45009498968,24.3088168267925,24.9860737369469,24.8905399164
"739",24.3412915121604,24.7100174045927,24.5137341434961,22.039038488251,22.3160923823414,22.7911127619569,21.9164630731714,22.9316827760241,23.3304118792233,24.5445588489802,24.611605498299,24.4483137007349
"742",22.1699911648165,22.9981072658666,23.3109116266836,22.1603429052578,21.3954068764722,22.092943775311,21.1020160552347,22.3698861726488,22.0601951726845,23.8105683894289,22.8395303050384,23.3304118792233
"708",18.4609968746743,19.2486162726182,19.2709543900576,20.0774361749287,18.276128743202,19.2224475369236,18.2659843746439,18.3583246450613,20.5621752449877,20.0148646106132,18.550093492214,18.5152363154861
"738",20.7607196229837,21.6060317544146,21.9547490379963,21.7915404600334,20.5965771720038,21.0002296356688,20.5551025381267,20.9922992077528,20.3400561360992,22.4058511849936,21.0853650300731,22.1884276029644
